what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1365613608307
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1365613608308
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1365613608309
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1365613608309
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1365613608310
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1365613608311
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1365613608313
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1365613608315
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1365613608316
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1365613608317
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1365613608318
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1365613608318
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1365613608319
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1365613608319
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1365613608320
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1365613608321
started,bundle,org.eclipse.cdt.core.lrparser,5.2.0.201202111925,"org.eclipse.cdt.core.lrparser",1365613608322
started,bundle,org.eclipse.cdt.core.lrparser.xlc,5.1.0.201202111925,"org.eclipse.cdt.core.lrparser.xlc",1365613608324
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1365613608325
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1365613608325
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1365613608326
started,bundle,org.eclipse.cdt.scripting,1.0.0.201202112006,"org.eclipse.cdt.scripting",1365613608327
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1365613608330
os,sysinfo,,,"linux",1365613608337
arch,sysinfo,,,"x86_64",1365613608337
ws,sysinfo,,,"gtk",1365613608337
locale,sysinfo,,,"en_IN",1365613608337
processors,sysinfo,,,"4",1365613608337
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1365613608337
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1365613608337
java.specification.name,sysinfo,,,"Java Platform API Specification",1365613608337
java.specification.vendor,sysinfo,,,"Oracle Corporation",1365613608337
java.specification.version,sysinfo,,,"1.7",1365613608337
java.vendor,sysinfo,,,"Oracle Corporation",1365613608337
java.version,sysinfo,,,"1.7.0_17",1365613608337
java.vm.info,sysinfo,,,"mixed mode",1365613608337
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1365613608337
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365613608337
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1365613608337
java.vm.specification.version,sysinfo,,,"1.7",1365613608337
java.vm.vendor,sysinfo,,,"Oracle Corporation",1365613608337
java.vm.version,sysinfo,,,"23.7-b01",1365613608337
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1365613609412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613610144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613611130
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1365613611771
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365613618290
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1365613618362
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1365613618364
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1365613618377
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1365613618381
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1365613618507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613619440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365613620044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613620065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613623116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365613630631
